PlayerID,FirstName,LastName,TeamID,Team,Jersey,Position,Class,Height,Weight
60023650,Camaron,Tongue,341,SANCLR,21,F,Sophomore,79,220
60023651,Marchelus,Avery,344,NMXST,1,F,Sophomore,80,215
60023652,Cameron,Crawford,,,20,G,Freshman,73,165
60023654,Shakiru,Odunewu,344,NMXST,34,F,Sophomore,82,245
60023656,Timothy,Barnes,362,UMKC,0,G,Sophomore,75,
60023658,Jack,Chapman,,,34,F,Freshman,79,
60023659,Jordan,Battle,348,UTAHV,22,G,Sophomore,74,200
60023660,Ndewedo,Newbury,338,SF,21,F,Sophomore,79,238
60023661,Emareyon,McDonald,301,NWST,2,G,Sophomore,74,165
60023662,Shaun,Riley,,,11,F,Freshman,78,195
60023664,Jordan,Jefferson,323,ARLR,12,G,Sophomore,76,180
60023665,Ethan,Speaker,323,ARLR,11,F,Freshman,79,215
60023666,Chris,Walker,323,ARLR,10,G,Freshman,78,195
60023667,Kirk,Cole,333,TROY,12,G,Sophomore,74,160
60023668,Duke,Deen,210,BRADLY,21,G,Junior,68,160
60023669,DJ,Roberts,333,TROY,34,G,Sophomore,73,160
60023670,Nate,Tshimanga,333,TROY,21,F,Sophomore,82,230
60023671,Gavyn,Elkamil,243,SEMST,22,G,Sophomore,77,190
60023672,Sterling,Gaston-Chapman,5,TULSA,3,G,Sophomore,77,210
60023673,Anthony,Pritchard,5,TULSA,14,G,Sophomore,75,170
60023675,Zhuric,Phelps,1,SMU,1,G,Sophomore,75,175
60023676,Jalen,Smith,1,SMU,2,G,Sophomore,76,175
60023677,Stefan,Todorovic,1,SMU,3,F,Sophomore,80,190
60023678,P.J.,Edwards,8,UCF,5,G,Sophomore,76,200
60023679,Darius,Johnson,8,UCF,3,G,Sophomore,73,190
60023680,Ed'Xavior,Rhodes,,,12,F,Freshman,81,0
60023681,J.R,Konieczny,25,ND,20,G,Sophomore,79,202
60023682,Alex,Wade,25,ND,4,G,Sophomore,72,170
60023683,Blake,Wesley,,,0,G,Freshman,77,0
60023685,Zach,Bloch,75,NCOL,11,G,Sophomore,74,180
60023686,Dalton,Knecht,75,NCOL,5,G,Senior,78,200
60023687,Dawson,Mohr,75,NCOL,4,G,Freshman,75,185
60023688,Isaiah,Brody,,,2,F,Freshman,79,0
60023689,Carson,Brown,37,JAX,14,G,Sophomore,73,175
60023690,Matthew,Lentz,,,13,F,Freshman,79,0
60023691,George,Pridgett,,,31,G,Freshman,70,0
60023692,Ademide,Badmus,83,GARDWB,5,F,Sophomore,79,245
60023693,Brendan,Mykalcio,83,GARDWB,2,G,Sophomore,79,190
60023694,Julien,Soumaoro,83,GARDWB,1,G,Sophomore,71,165
60023695,Leon,Williams,83,GARDWB,11,G,Sophomore,75,185
60023696,Brock,Heffner,152,GB,24,F,Freshman,80,220
60023697,Jaka,Prevodnik,,,12,G,Freshman,77,0
60023698,Enoch,Boakye,255,ARZST,14,C,Sophomore,82,240
60023699,Will,Felton,,,34,F,Freshman,80,0
60023700,Bobby,Hurley,255,ARZST,11,G,Sophomore,72,160
60023701,Jamiya,Neal,255,ARZST,5,F,Sophomore,78,185
60023703,Demari,Williams,320,ORAL,0,G,Sophomore,78,217
60023704,Adam,Larson,243,SEMST,4,F,Freshman,81,180
60023705,Sam,Thompson,,,20,F,Freshman,82,0
60023706,Chase,Thompson,,,2,F,Freshman,79,0
60023707,Marcus,Banks,,,24,G,Freshman,74,0
60023708,Davion,Everett,190,SCARST,55,F,Sophomore,78,205
