PeriodID,GameID,Number,Name,Type,AwayScore,HomeScore
71685,37886,1,1,Half,37,29
71686,38289,1,1,Half,25,21
71687,40363,1,1,Half,35,26
71688,40352,1,1,Half,30,36
71689,40368,1,1,Half,32,26
71690,36643,1,1,Half,24,38
71691,38294,1,1,Half,33,34
71692,38274,2,2,Half,41,43
71693,37280,2,2,Half,49,47
71694,41129,2,2,Half,36,41
71695,40350,2,2,Half,27,44
71696,38287,2,2,Half,24,31
71697,41984,2,2,Half,38,37
71698,37882,1,1,Half,26,35
71699,37884,1,1,Half,33,35
71700,40356,1,1,Half,35,26
71701,37272,1,1,Half,40,29
71702,38273,2,2,Half,24,44
71703,37270,2,2,Half,45,35
71704,37885,2,2,Half,33,29
71705,41982,2,2,Half,32,33
71706,41134,1,1,Half,37,29
71707,36639,2,2,Half,42,36
71708,38772,2,2,Half,18,41
71709,40365,2,2,Half,30,39
71710,38281,2,2,Half,38,39
71711,37292,1,1,Half,42,36
71712,41140,1,1,Half,32,33
71713,37297,2,2,Half,29,46
71714,37890,1,1,Half,35,33
71715,37283,1,1,Half,37,27
71716,41135,3,OT,Overtime,9,8
71717,37279,3,OT,Overtime,16,12
71718,37886,2,2,Half,33,33
71719,40352,2,2,Half,37,28
71720,36643,2,2,Half,38,32
71721,38294,2,2,Half,38,24
71722,37272,2,2,Half,53,46
71723,40372,1,1,Half,25,33
71724,37277,1,1,Half,30,32
71725,40369,1,1,Half,30,31
71726,38290,1,1,Half,34,50
71727,41993,1,1,Half,29,30
71728,40354,1,1,Half,29,21
71729,38776,1,1,Half,32,43
71730,38271,1,1,Half,23,35
71731,40366,1,1,Half,21,37
71732,40370,1,1,Half,34,36
71733,37885,3,OT,Overtime,13,9
71734,40362,3,OT,Overtime,14,10
71735,37881,2,2,Half,28,35
71736,41134,2,2,Half,31,41
71737,37884,2,2,Half,35,21
71738,38289,2,2,Half,40,30
71739,40363,2,2,Half,36,44
71740,40356,2,2,Half,37,32
71741,40368,2,2,Half,24,32
71742,37298,1,1,Half,24,50
71743,38288,1,1,Half,34,23
71744,37281,1,1,Half,45,48
71745,38771,1,1,Half,38,45
71746,40351,1,1,Half,41,33
71747,37295,1,1,Half,41,42
71748,40371,1,1,Half,16,32
71749,41985,1,1,Half,25,27
71750,37882,2,2,Half,43,34
71751,40364,1,1,Half,32,36
71752,41139,1,1,Half,37,33
71753,41987,1,1,Half,49,46
71754,41132,1,1,Half,32,33
71755,41136,1,1,Half,33,26
71756,41138,1,1,Half,51,32
71757,36645,1,1,Half,25,30
71758,38280,1,1,Half,30,28
71759,40373,1,1,Half,30,29
71760,37890,2,2,Half,44,36
71761,41986,1,1,Half,46,43
71762,37299,1,1,Half,31,29
71763,37283,2,2,Half,37,47
71764,41140,2,2,Half,32,35
71765,37292,2,2,Half,24,47
71766,41133,1,1,Half,31,31
71767,37277,2,2,Half,45,41
71768,40369,2,2,Half,30,40
71769,38771,2,2,Half,44,25
71770,40354,2,2,Half,29,27
71771,38776,2,2,Half,31,34
71772,38271,2,2,Half,45,41
71773,40366,2,2,Half,36,33
71774,40370,2,2,Half,40,50
71775,41985,2,2,Half,25,28
71776,40375,1,1,Half,40,40
71777,40374,1,1,Half,25,33
71778,38282,1,1,Half,35,40
71779,37274,1,1,Half,28,35
71780,40372,2,2,Half,43,44
71781,37298,2,2,Half,39,44
71782,38288,2,2,Half,25,21
71783,38290,2,2,Half,44,25
71784,41993,2,2,Half,38,43
71785,40351,2,2,Half,42,43
71786,40371,2,2,Half,25,26
71787,37275,1,1,Half,28,25
71788,40367,1,1,Half,43,44
71789,37882,3,OT,Overtime,6,6
71790,40364,2,2,Half,30,26
71791,37295,2,2,Half,19,36
71792,40355,1,1,Half,49,28
71793,37281,2,2,Half,49,47
71794,41139,2,2,Half,32,27
71795,41987,2,2,Half,52,47
71796,41132,2,2,Half,42,44
71797,41136,2,2,Half,40,23
71798,36645,2,2,Half,26,38
71799,37299,2,2,Half,33,27
71800,38280,2,2,Half,37,37
71801,40376,1,1,Half,31,44
71802,37882,4,OT2,Overtime,11,11
71803,41986,2,2,Half,45,39
71804,41133,2,2,Half,30,34
71805,41138,2,2,Half,36,26
71806,40373,2,2,Half,47,42
71807,41988,1,1,Half,32,23
71808,37283,3,OT,Overtime,8,11
71809,37882,5,OT3,Overtime,10,12
71810,38282,2,2,Half,36,39
71811,40375,2,2,Half,47,43
71812,40374,2,2,Half,42,34
71813,40367,2,2,Half,30,28
71814,37293,1,1,Half,40,36
71815,40349,1,1,Half,21,40
71816,37289,1,1,Half,24,29
71817,37274,2,2,Half,30,26
71818,38775,1,1,Half,27,38
71819,41989,1,1,Half,14,44
71820,37889,1,1,Half,34,41
71821,40364,3,OT,Overtime,2,6
71822,37275,2,2,Half,36,47
71823,40355,2,2,Half,33,44
71824,41991,1,1,Half,28,39
71825,40376,2,2,Half,46,41
71826,41137,1,1,Half,34,29
71827,41992,1,1,Half,35,30
71828,41990,1,1,Half,21,60
71829,41988,2,2,Half,15,37
71830,40374,3,OT,Overtime,5,6
71831,40349,2,2,Half,35,29
71832,37288,1,1,Half,29,23
71833,38275,1,1,Half,40,35
71834,40348,1,1,Half,38,42
71835,38279,1,1,Half,29,33
71836,38278,1,1,Half,28,45
71837,38285,1,1,Half,31,30
71838,37269,1,1,Half,24,25
71839,37276,1,1,Half,37,27
71840,37293,2,2,Half,36,50
71841,37889,2,2,Half,36,29
71842,38283,1,1,Half,26,41
71843,38775,2,2,Half,21,37
71844,41989,2,2,Half,22,35
71845,37289,2,2,Half,26,35
71846,41991,2,2,Half,49,45
71847,40361,1,1,Half,33,20
71848,41992,2,2,Half,44,37
71849,38285,2,2,Half,32,33
71850,41137,2,2,Half,33,41
71851,36640,1,1,Half,34,41
71852,41995,1,1,Half,20,42
71853,41990,2,2,Half,30,39
71854,40348,2,2,Half,45,44
71855,37288,2,2,Half,15,23
71856,40357,1,1,Half,35,32
71857,38275,2,2,Half,46,40
71858,37269,2,2,Half,25,25
71859,38279,2,2,Half,39,24
71860,38278,2,2,Half,44,37
71861,37276,2,2,Half,38,23
71862,38283,2,2,Half,32,26
71863,37888,1,1,Half,34,38
71864,38291,1,1,Half,52,46
71865,37883,1,1,Half,28,30
71866,37300,1,1,Half,42,39
71867,37733,1,1,Half,43,43
71868,37271,1,1,Half,33,34
71869,38777,1,1,Half,36,46
71870,37889,3,OT,Overtime,12,4
71871,41130,1,1,Half,29,32
71872,36640,2,2,Half,57,52
71873,37291,1,1,Half,29,33
71874,40358,1,1,Half,44,35
71875,41995,2,2,Half,24,36
71876,40361,2,2,Half,38,25
71877,38285,3,OT,Overtime,10,13
71878,38291,2,2,Half,45,35
71879,37733,2,2,Half,47,36
71880,40357,2,2,Half,41,36
71881,41997,1,1,Half,41,46
